año;organismo;codigo;descripcion;total;cap1;cap2;cap3;cap4;cap5;cap6;cap7;cap8
2016;SEGURIDAD SOCIAL;6;ENAJENACION DE INVERSIONES REALES;311,15;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2016;SEGURIDAD SOCIAL;7;TRANSFERENCIAS DE CAPITAL;924237,44;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2016;SEGURIDAD SOCIAL;8;ACTIVOS FINANCIEROS;7863453,09;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2017;ESTADO;1;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;67763061,53;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2017;ESTADO;2;IMPUESTOS INDIRECTOS;44532000,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2017;ESTADO;3;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;8167598,57;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2017;ESTADO;4;TRANSFERENCIAS CORRIENTES;5962005,98;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2017;ESTADO;5;INGRESOS PATRIMONIALES;5062549,72;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2017;ESTADO;6;ENAJENACION DE INVERSIONES REALES;213300,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2017;ESTADO;7;TRANSFERENCIAS DE CAPITAL;1354498,14;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2017;ESTADO;8;ACTIVOS FINANCIEROS;2368625,81;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2017;SEGURIDAD SOCIAL;60;SEGURIDAD SOCIAL;149006429,79;110560320,0;1210743,25;16475311,08;1080383,77;954,15;737407,69;8748309,85;10193000,0
2018;ESTADO;1;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;69490522,05;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2018;ESTADO;2;IMPUESTOS INDIRECTOS;47191000,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2018;ESTADO;3;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;10971230,57;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2018;ESTADO;4;TRANSFERENCIAS CORRIENTES;6446008,31;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2018;ESTADO;5;INGRESOS PATRIMONIALES;5603027,82;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2018;ESTADO;6;ENAJENACION DE INVERSIONES REALES;101406,98;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2018;ESTADO;7;TRANSFERENCIAS DE CAPITAL;1503581,22;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2018;ESTADO;8;ACTIVOS FINANCIEROS;1779223,76;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2018;SEGURIDAD SOCIAL;60;SEGURIDAD SOCIAL;154149438,54;114915750,0;992938,73;18441158,76;228297,71;1134,46;673254,93;5066813,95;13830090,0
2019;ESTADO;1;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;69490522,05;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019;ESTADO;2;IMPUESTOS INDIRECTOS;47191000,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019;ESTADO;3;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;10971230,57;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019;ESTADO;4;TRANSFERENCIAS CORRIENTES;6446008,31;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019;ESTADO;5;INGRESOS PATRIMONIALES;5603027,82;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019;ESTADO;6;ENAJENACION DE INVERSIONES REALES;101406,98;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019;ESTADO;7;TRANSFERENCIAS DE CAPITAL;1503581,22;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019;ESTADO;8;ACTIVOS FINANCIEROS;1779223,76;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2019;SEGURIDAD SOCIAL;60;SEGURIDAD SOCIAL;154149438,54;114915750,0;992938,73;18441158,76;228297,71;1134,46;673254,93;5066813,95;13830090,0
2021;ESTADO;1;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;70211060,86;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2021;ESTADO;2;IMPUESTOS INDIRECTOS;51479784,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2021;ESTADO;3;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;10544319,16;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2021;ESTADO;4;TRANSFERENCIAS CORRIENTES;7944284,48;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2021;ESTADO;5;INGRESOS PATRIMONIALES;8228887,71;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2021;ESTADO;6;ENAJENACION DE INVERSIONES REALES;473645,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2021;ESTADO;7;TRANSFERENCIAS DE CAPITAL;6411840,38;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2021;ESTADO;8;ACTIVOS FINANCIEROS;1820707,79;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
