year;code;name;amount;policy
2019;463B;Fomento y coordinación de la investigación científica y técnica;2.979.025,61;46. INVESTIGACIÓN, DESARROLLO, INNOVACIÓN Y DIGITALIZACIÓN
2019;465A;Investigación sanitaria;270.847,13;46. INVESTIGACIÓN, DESARROLLO, INNOVACIÓN Y DIGITALIZACIÓN
2019;467C;Investigación y desarrollo tecnológico-industrial;1.063.474,36;46. INVESTIGACIÓN, DESARROLLO, INNOVACIÓN Y DIGITALIZACIÓN
2019;467D;Investigación y experimentación agraria;52.973,45;46. INVESTIGACIÓN, DESARROLLO, INNOVACIÓN Y DIGITALIZACIÓN
2019;467E;Investigación oceanográfica y pesquera;61.036,61;46. INVESTIGACIÓN, DESARROLLO, INNOVACIÓN Y DIGITALIZACIÓN
2019;467F;Investigación geológico-minera y medioambiental;23.354,05;46. INVESTIGACIÓN, DESARROLLO, INNOVACIÓN Y DIGITALIZACIÓN
2019;467H;Investigación energética, medioambiental y tecnológica;89.214,73;46. INVESTIGACIÓN, DESARROLLO, INNOVACIÓN Y DIGITALIZACIÓN
2019;000X;Transferencias internas (Sección: 28 MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES);1.463.131,16;46. INVESTIGACIÓN, DESARROLLO, INNOVACIÓN Y DIGITALIZACIÓN
2019;441M;Subvenciones y apoyo al transporte terrestre;293.695,52;44. INFRAESTRUCTURAS
2019;453A;Infraestructura del transporte ferroviario;11.983,61;45. INFRAESTRUCTURAS Y ECOSISTEMAS RESILIENTES
2019;941O;Otras transferencias a Comunidades Autónomas;685.395,96;94. TRANSFERENCIAS A OTRAS ADMINISTRACIONES PÚBLICAS
2019;942N;Otras aportaciones a Entidades Locales;218.901,57;94. TRANSFERENCIAS A OTRAS ADMINISTRACIONES PÚBLICAS
2019;941N;Transferencias a Comunidades Autónomas por los Fondos de Compensación Interterritorial;582.430,00;94. TRANSFERENCIAS A OTRAS ADMINISTRACIONES PÚBLICAS
2019;943M;Transferencias al Presupuesto General de la Unión Europea;13.003.274,00;94. TRANSFERENCIAS A OTRAS ADMINISTRACIONES PÚBLICAS
2019;943N;Cooperación al desarrollo a través del Fondo Europeo de Desarrollo;381.000,00;94. TRANSFERENCIAS A OTRAS ADMINISTRACIONES PÚBLICAS
2019;929N;Fondo de contingencia de ejecución presupuestaria;2.276.680,00;92. SERVICIOS DE CARÁCTER GENERAL
2019;941M;Transferencias a Comunidades Autónomas por participación en los ingresos del Estado;18.266.441,06;94. TRANSFERENCIAS A OTRAS ADMINISTRACIONES PÚBLICAS
2019;942M;Transferencias a Entidades Locales por participación en los ingresos del Estado;16.335.691,16;94. TRANSFERENCIAS A OTRAS ADMINISTRACIONES PÚBLICAS
2019;211M;Pensiones contributivas de la Seguridad Social;119.940.026,55;21. PENSIONES
2019;212M;Pensiones no contributivas y prestaciones asistenciales;2.380.367,35;21. PENSIONES
2019;212O;Gestión y control de los complementos a mínimos de pensiones;7.329.116,20;21. PENSIONES
2019;219M;Gestión de las prestaciones económicas de Seguridad Social;379.806,55;21. PENSIONES
2019;221M;Subsidios de incapacidad temporal y otras prestaciones económicas de la Seguridad Social;13.175.843,40;22. OTRAS PRESTACIONES ECONÓMICAS
2019;224M;Prestaciones económicas por cese de actividad;20.860,00;22. OTRAS PRESTACIONES ECONÓMICAS
2019;231C;Servicios Sociales de la Seguridad Social a personas con discapacidad;52.704,87;23. SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL
